date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:16:17	5409/5409	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Apr%202016%2009:22:15%20GMT	http://kindeditor.net/doc.php	E:/xaufe/kindeditor/kindeditor/kindeditor.net/doc.html	(from )
17:16:19	0/0	---M--	200	added ('OK')	text/plain	etag:%22567a4873-0%22	http://kindeditor.net/robots.txt		(from )
17:16:19	1406/1406	---M--	200	added ('OK')	image/x-icon	etag:%22567a4872-57e%22	http://kindeditor.net/favicon.ico	E:/xaufe/kindeditor/kindeditor/kindeditor.net/favicon.ico	(from http://kindeditor.net/doc.php)
17:16:19	12384/12384	---MCZ	200	added ('OK')	text/css	etag:W/%22567a4872-3060%22	http://kindeditor.net/css/main.css?t=20140215.css	E:/xaufe/kindeditor/kindeditor/kindeditor.net/css/mainfd47.css	(from http://kindeditor.net/doc.php)
17:16:19	927/927	---M--	200	added ('OK')	text/css	etag:%22567a4873-39f%22	http://kindeditor.net/prettify/prettify.css?t=20110528.css	E:/xaufe/kindeditor/kindeditor/kindeditor.net/prettify/prettifye51e.css	(from http://kindeditor.net/doc.php)
17:16:20	20773/20773	---MCZ	200	added ('OK')	text/css	etag:W/%2256fd292e-5125%22	http://kindeditor.net/ke4/themes/default/default.css?t=20160331.css	E:/xaufe/kindeditor/kindeditor/kindeditor.net/ke4/themes/default/default79ed.css	(from http://kindeditor.net/doc.php)
17:16:20	238/238	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Apr%202016%2009:22:18%20GMT	http://kindeditor.net/index.php	E:/xaufe/kindeditor/kindeditor/kindeditor.net/index.php	(from http://kindeditor.net/doc.php)
17:16:20	11978/11978	---MCZ	200	added ('OK')	application/javascript	etag:W/%22567a4873-2eca%22	http://kindeditor.net/prettify/prettify.js?t=20110528.js	E:/xaufe/kindeditor/kindeditor/kindeditor.net/prettify/prettify8b79.js	(from http://kindeditor.net/doc.php)
17:16:21	8649/8649	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Apr%202016%2009:22:18%20GMT	http://kindeditor.net/demo.php	E:/xaufe/kindeditor/kindeditor/kindeditor.net/demo.html	(from http://kindeditor.net/doc.php)
17:16:21	4325/4325	---M--	200	added ('OK')	image/png	etag:%22567a4872-10e5%22	http://kindeditor.net/images/logo.png	E:/xaufe/kindeditor/kindeditor/kindeditor.net/images/logo.png	(from http://kindeditor.net/doc.php)
17:16:21	4536/4536	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Apr%202016%2009:22:18%20GMT	http://kindeditor.net/about.php	E:/xaufe/kindeditor/kindeditor/kindeditor.net/about.html	(from http://kindeditor.net/doc.php)
17:16:21	5325/5325	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Apr%202016%2009:22:19%20GMT	http://kindeditor.net/down.php	E:/xaufe/kindeditor/kindeditor/kindeditor.net/down.html	(from http://kindeditor.net/doc.php)
17:16:22	8802/8802	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Apr%202016%2009:22:19%20GMT	http://kindeditor.net/case.php	E:/xaufe/kindeditor/kindeditor/kindeditor.net/case.html	(from http://kindeditor.net/doc.php)
17:16:22	12130/12130	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Apr%202016%2009:22:19%20GMT	http://kindeditor.net/docs/usage.html	E:/xaufe/kindeditor/kindeditor/kindeditor.net/docs/usage.html	(from http://kindeditor.net/doc.php)
17:16:22	8777/8777	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Apr%202016%2009:22:20%20GMT	http://kindeditor.net/docs/upgrade.html	E:/xaufe/kindeditor/kindeditor/kindeditor.net/docs/upgrade.html	(from http://kindeditor.net/doc.php)
